"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"02020","5","31212","77","0","2015","4","",5,74,76,75,510262,363008,6790,523,"",2.40,1.32,1.38,1.35,0.47,1.42,1.47,0.35,"",1,25.0,15,25.4,17,28.8,16,27.1,145331,39.8,84166,30.2,642,10.4,47,9.9
"02090","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",3.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02100","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",25.30,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02110","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",3.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02122","5","31212","77","0","2015","4","N",3,0,0,0,0,0,0,0,"N",6.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02150","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",8.18,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02170","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",3.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02220","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",10.54,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02230","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",62.75,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","5","31212","57","0","2015","4","",19,239,250,248,1565073,255426,5724,490,"",0.50,0.25,0.26,0.25,0.10,0.26,0.27,0.38,"",3,18.8,71,42.3,67,36.6,68,37.8,620421,65.7,-23506,-8.4,-110,-1.9,79,19.2
"04005","5","31212","77","0","2015","4","",3,30,34,33,184860,29664,640,440,"",3.57,1.34,1.55,1.50,0.60,1.59,1.90,0.41,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04013","5","31212","77","0","2015","4","N",8,0,0,0,0,0,0,0,"N",0.33,0,0,0,0,0,0,0,"N",1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04015","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",1.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04019","5","31212","77","0","2015","4","",5,55,62,61,385485,60162,1138,500,"",1.06,0.43,0.48,0.46,0.19,0.54,0.52,0.43,"",1,25.0,12,27.9,18,40.9,17,38.6,111705,40.8,26378,78.1,354,45.2,18,3.7
"04025","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",1.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05000","5","31212","57","0","2015","4","",15,177,173,177,836755,443454,15910,366,"",0.68,0.41,0.40,0.41,0.13,0.70,1.05,0.33,"",7,87.5,51,40.5,38,28.1,38,27.3,333441,66.2,183763,70.8,7183,82.3,76,26.2
"05007","5","31212","77","0","2015","4","N",3,0,0,0,0,0,0,0,"N",2.03,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05059","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",6.36,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05119","5","31212","77","0","2015","4","",6,53,52,59,239987,106837,3455,338,"",1.66,0.59,0.58,0.65,0.16,0.89,1.25,0.26,"N",4,200.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05143","5","31212","77","0","2015","4","",5,88,87,83,388117,247881,9172,347,"",3.43,2.40,2.36,2.22,0.64,4.50,8.08,0.28,"",1,25.0,13,17.3,4,4.8,0,0.0,98806,34.2,113581,84.6,3800,70.7,70,25.3
"06000","5","31212","57","0","2015","4","",248,6816,6918,6914,349856472,6198626,254401,3910,"",0.69,1.13,1.15,1.15,2.67,1.06,1.04,2.33,"",55,28.5,1165,20.6,1087,18.6,1045,17.8,272274357,350.9,1517598,32.4,53625,26.7,2878,278.9
"06001","5","31212","77","0","2015","4","",8,127,127,135,1811144,89816,3320,1074,"",0.54,0.47,0.47,0.50,0.28,0.38,0.33,0.58,"N",1,14.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06007","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",1.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06013","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",0.13,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06019","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",0.25,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06023","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",1.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06027","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",5.44,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06029","5","31212","77","0","2015","4","",4,96,91,88,428474,217010,7530,360,"",0.91,0.82,0.80,0.79,0.25,1.70,1.29,0.31,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06033","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",1.35,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06037","5","31212","77","0","2015","4","",31,1554,1615,1616,32336202,1131082,49433,1559,"",0.27,1.00,1.03,1.02,0.95,0.73,0.78,0.94,"",8,34.8,179,13.0,199,14.1,201,14.2,3256456,11.2,555636,96.6,24523,98.4,-37,-2.3
"06039","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",1.00,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06041","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",0.65,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06043","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",8.36,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06045","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",1.94,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06051","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",12.93,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06053","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",0.30,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06057","5","31212","77","0","2015","4","N",3,0,0,0,0,0,0,0,"N",3.41,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06059","5","31212","77","0","2015","4","N",14,0,0,0,0,0,0,0,"N",0.50,0,0,0,0,0,0,0,"N",4,40.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06061","5","31212","77","0","2015","4","",7,117,118,120,822816,141587,5630,535,"",2.34,2.15,2.16,2.18,0.82,2.61,2.45,0.38,"",0,0.0,13,12.5,19,19.2,24,25.0,198820,31.9,45806,47.8,1052,23.0,53,11.0
"06065","5","31212","77","0","2015","4","N",13,0,0,0,0,0,0,0,"N",0.91,0,0,0,0,0,0,0,"N",2,18.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06067","5","31212","77","0","2015","4","N",9,0,0,0,0,0,0,0,"N",0.67,0,0,0,0,0,0,0,"N",1,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06069","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",2.61,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06071","5","31212","77","0","2015","4","",11,191,191,203,1437517,233188,8906,567,"",0.82,0.76,0.74,0.78,0.37,0.88,0.83,0.48,"",3,37.5,20,11.7,15,8.5,29,16.7,229383,19.0,26393,12.8,1313,17.3,32,6.0
"06073","5","31212","77","0","2015","4","",56,1626,1635,1627,196642874,1489609,58799,9284,"",2.14,3.23,3.24,3.20,19.17,3.38,3.23,5.95,"",21,60.0,223,15.9,152,10.2,94,6.1,180265065,1100.7,-271946,-15.4,-19527,-24.9,8429,985.8
"06075","5","31212","77","0","2015","4","",6,340,343,345,4684047,404191,15038,1051,"",0.41,1.37,1.38,1.37,0.56,1.66,1.49,0.41,"N",2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06077","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",0.23,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06079","5","31212","77","0","2015","4","",4,22,21,20,93051,30077,1288,341,"",1.60,0.52,0.50,0.48,0.14,0.75,0.81,0.29,"",0,0.0,0,0.0,1,5.0,0,0.0,-44401,-32.3,-3186,-9.6,158,14.0,-171,-33.4
"06081","5","31212","77","0","2015","4","",4,43,43,42,292784,56413,2524,528,"",0.59,0.30,0.30,0.29,0.06,0.42,0.46,0.19,"",-1,-20.0,-3,-6.5,-3,-6.5,-4,-8.7,38517,15.1,-7209,-11.3,-257,-9.2,103,24.2
"06083","5","31212","77","0","2015","4","",5,138,132,143,994937,189601,7397,556,"",1.34,1.93,1.88,2.05,0.79,3.10,3.04,0.41,"",1,25.0,28,25.5,22,20.0,34,31.2,357415,56.1,86547,84.0,1460,24.6,109,24.4
"06085","5","31212","77","0","2015","4","N",8,0,0,0,0,0,0,0,"N",0.47,0,0,0,0,0,0,0,"N",4,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06087","5","31212","77","0","2015","4","N",5,0,0,0,0,0,0,0,"N",2.14,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06089","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",1.20,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06093","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",2.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06095","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",0.76,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06097","5","31212","77","0","2015","4","N",9,0,0,0,0,0,0,0,"N",1.88,0,0,0,0,0,0,0,"N",2,28.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06099","5","31212","77","0","2015","4","N",3,0,0,0,0,0,0,0,"N",0.82,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06103","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",2.25,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06111","5","31212","77","0","2015","4","",5,29,26,28,204733,43456,1477,569,"",0.78,0.25,0.22,0.24,0.10,0.38,0.32,0.41,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06113","5","31212","77","0","2015","4","N",3,0,0,0,0,0,0,0,"N",1.89,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06999","5","31212","77","0","2015","4","",14,102,99,99,1649370,36837,1852,1269,"",1.20,0.70,0.68,0.67,0.39,0.14,0.17,0.58,"",2,16.7,6,6.2,2,2.1,-1,-1.0,243599,17.3,-3014,-7.6,-301,-14.0,162,14.6
"08000","5","31212","57","0","2015","4","",183,4705,4708,4750,72547757,6153314,112932,1182,"",3.95,5.16,5.18,5.15,4.20,3.75,3.85,0.81,"",43,30.7,596,14.5,491,11.6,596,14.3,4409286,6.5,2327062,60.8,42339,60.0,-78,-6.2
"08001","5","31212","77","0","2015","4","",4,16,18,19,71731,40711,1316,312,"",1.60,0.23,0.26,0.27,0.06,0.36,0.59,0.23,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08005","5","31212","77","0","2015","4","",14,178,189,179,1596485,498599,11188,675,"",2.71,1.53,1.63,1.53,0.65,2.59,3.04,0.41,"",4,40.0,95,114.5,96,103.2,89,98.9,944798,145.0,348022,231.1,8085,260.6,110,19.5
"08007","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",14.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08013","5","31212","77","0","2015","4","",26,605,599,604,5844119,1007300,24038,746,"",7.35,9.55,9.46,9.49,4.25,10.59,14.35,0.45,"",5,23.8,162,36.6,139,30.2,145,31.6,1659901,39.7,396769,65.0,10412,76.4,37,5.2
"08014","5","31212","77","0","2015","4","N",4,0,0,0,0,0,0,0,"N",6.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08015","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",4.38,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08029","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",9.07,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08031","5","31212","77","0","2015","4","",38,282,282,321,2015165,496910,13414,525,"",5.17,1.61,1.61,1.82,0.52,1.69,2.40,0.31,"",10,35.7,61,27.6,56,24.8,84,35.4,262123,15.0,67471,15.7,3668,37.6,-66,-11.2
"08035","5","31212","77","0","2015","4","N",6,0,0,0,0,0,0,0,"N",2.18,0,0,0,0,0,0,0,"N",2,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08037","5","31212","77","0","2015","4","N",5,0,0,0,0,0,0,0,"N",5.98,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08041","5","31212","77","0","2015","4","",11,102,102,100,605286,162723,3802,459,"",2.45,1.08,1.08,1.05,0.39,1.06,1.27,0.37,"N",4,57.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08043","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",4.46,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08045","5","31212","77","0","2015","4","-",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08049","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",9.56,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08051","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",7.10,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08059","5","31212","77","0","2015","4","N",16,0,0,0,0,0,0,0,"N",3.38,0,0,0,0,0,0,0,"N",5,45.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08067","5","31212","77","0","2015","4","",4,92,92,92,755836,136801,2328,632,"",6.46,9.88,10.09,9.97,4.91,4.01,7.19,0.49,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08069","5","31212","77","0","2015","4","",25,1341,1328,1323,22986512,2177837,27827,1329,"",8.92,24.57,24.53,24.28,25.03,24.81,18.53,1.02,"",7,38.9,129,10.6,87,7.0,135,11.4,-448207,-1.9,1121134,106.1,10736,62.8,-156,-10.5
"08077","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",1.70,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08083","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",10.16,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08085","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",3.09,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08091","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",12.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08093","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",7.83,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08097","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",2.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08101","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",1.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08107","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",2.36,0,0,0,0,0,0,0,"N",-1,-50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08113","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",6.10,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08117","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",1.81,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"08123","5","31212","77","0","2015","4","",7,37,36,38,149542,76726,2123,311,"",4.21,1.00,0.99,1.04,0.26,1.09,1.60,0.25,"",3,75.0,12,48.0,13,56.5,14,58.3,30506,25.6,10244,15.4,369,21.0,-71,-18.6
"08999","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",1.29,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09000","5","31212","57","0","2015","4","",23,257,260,281,2022335,697937,25687,585,"",0.80,0.42,0.43,0.46,0.15,0.71,0.77,0.33,"",6,35.3,102,65.8,105,67.7,123,77.8,711600,54.3,350685,101.0,10631,70.6,-61,-9.4
"09001","5","31212","77","0","2015","4","",3,88,92,98,794329,186264,3793,659,"",0.35,0.57,0.60,0.63,0.17,0.70,0.44,0.29,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09003","5","31212","77","0","2015","4","",7,65,61,65,376316,208098,10874,455,"",1.04,0.35,0.33,0.35,0.09,0.75,1.14,0.26,"",2,40.0,13,25.0,9,17.3,13,25.0,105004,38.7,106560,104.9,5638,107.7,54,13.5
"09009","5","31212","77","0","2015","4","",9,85,86,92,741395,247879,8767,651,"",1.55,0.64,0.65,0.69,0.29,1.20,1.23,0.44,"",2,28.6,41,93.2,44,104.8,51,124.4,298020,67.2,137944,125.5,4365,99.2,-155,-19.2
"09011","5","31212","77","0","2015","4","N",3,0,0,0,0,0,0,0,"N",1.67,0,0,0,0,0,0,0,"N",1,50.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"09013","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",1.31,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10000","5","31212","57","0","2015","4","",11,181,184,176,1980439,382697,6274,845,"",1.45,1.14,1.16,1.10,0.67,1.19,1.03,0.59,"",2,22.2,-6,-3.2,-5,-2.6,-5,-2.8,-889832,-31.0,139650,57.5,913,17.0,-344,-28.9
"10001","5","31212","77","0","2015","4","",3,51,52,51,366812,121025,4128,550,"",3.13,2.14,2.19,2.13,1.05,2.82,4.94,0.49,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10003","5","31212","77","0","2015","4","N",4,0,0,0,0,0,0,0,"N",0.86,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10005","5","31212","77","0","2015","4","N",4,0,0,0,0,0,0,0,"N",2.58,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11000","5","31212","57","0","2015","4","",11,81,81,81,557520,120180,2614,529,"",1.14,0.30,0.30,0.30,0.07,0.53,0.43,0.23,"",4,57.1,20,32.8,14,20.9,12,17.4,138289,33.0,14483,13.7,-240,-8.4,38,7.7
"11001","5","31212","77","0","2015","4","",11,81,81,81,557520,120180,2614,529,"",1.14,0.30,0.30,0.30,0.07,0.53,0.43,0.23,"",4,57.1,20,32.8,14,20.9,12,17.4,138289,33.0,14483,13.7,-240,-8.4,38,7.7
"12000","5","31212","57","0","2015","4","",102,1438,1437,1489,21601252,1195619,24725,1142,"",0.63,0.49,0.48,0.49,0.44,0.39,0.44,0.91,"",20,24.4,278,24.0,223,18.4,263,21.5,2392894,12.5,169784,16.6,-3150,-11.3,-89,-7.2
"12001","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",1.20,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12005","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",0.74,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12009","5","31212","77","0","2015","4","N",5,0,0,0,0,0,0,0,"N",1.34,0,0,0,0,0,0,0,"N",1,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12011","5","31212","77","0","2015","4","N",4,0,0,0,0,0,0,0,"N",0.24,0,0,0,0,0,0,0,"N",2,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12015","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",0.91,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12031","5","31212","77","0","2015","4","",6,618,582,618,13861081,218121,10418,1759,"",0.87,3.55,3.33,3.50,4.59,1.26,2.96,1.33,"",0,0.0,51,9.0,-5,-0.9,42,7.3,774670,5.9,10610,5.1,324,3.2,13,0.7
"12033","5","31212","77","0","2015","4","N",2,0,0,0,0,0,0,0,"N",1.01,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12053","5","31212","77","0","2015","4","N",1,0,0,0,0,0,0,0,"N",1.18,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12057","5","31212","77","0","2015","4","N",10,0,0,0,0,0,0,0,"N",1.02,0,0,0,0,0,0,0,"N",2,25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
